,Date,Time,Username,Message,Sentiment,Time from Start
2756,2022-12-21,17:43:46,Om3gaXe,JEJDA,5,94
2028,2022-12-21,17:43:48,luziferek,not bad xD,7,94
3882,2022-12-21,17:43:48,Ackooo1337,fr,2,94
1078,2022-12-21,17:43:49,lot_of_damage,Sadge,1,94
1079,2022-12-21,17:43:49,gems69,Sadge,1,94
1885,2022-12-21,17:43:51,koupisbean,one more,5,95
1080,2022-12-21,17:43:54,randysi,Sadge,1,95
3081,2022-12-21,17:43:56,randysi,holyy,6,95
3883,2022-12-21,17:43:57,milujutekamobracho1,fr,2,95
3884,2022-12-21,17:44:01,xeriffer,fr,2,95
1003,2022-12-21,17:44:02,jonathanlarda,Sdge,2,95
4312,2022-12-21,17:44:03,blueBerry_suBB,cleocatra spins,5,95
1870,2022-12-21,17:44:05,audiz961,one more break the system,2,95
3885,2022-12-21,17:44:05,Rozkii,fr,2,95
3954,2022-12-21,17:44:06,jameslinkk,F,2,95
3925,2022-12-21,17:44:07,jameslinkk,FF,2,95
4488,2022-12-21,17:44:07,pipkos758,bowerly,5,95
1172,2022-12-21,17:44:11,jameslinkk,really,5,95
935,2022-12-21,17:44:20,Rozkii,so rtp is ready now,3,95
1165,2022-12-21,17:44:23,koupisbean,ResidentSleeper,1,95
3333,2022-12-21,17:44:25,Rob150__,gulag,1,95
4167,2022-12-21,17:44:32,flopydca,DEAD DEAD DEAD WILL MONEY,1,95
4522,2022-12-21,17:44:37,henriiet,Big Juan?,5,95
2616,2022-12-21,17:44:39,wampir81,lets go gladiat�r 2vs quarented pls 10 spin 4 dolars,6,95
4648,2022-12-21,17:44:41,LMNFix,Anubis?,5,95
4929,2022-12-21,17:44:45,LMNFix,<3,8,95
2388,2022-12-21,17:44:46,Strangechol,mby big bamboo,5,95
5257,2022-12-21,17:44:46,xeriffer,!bl,5,95
5158,2022-12-21,17:44:47,Strangechol,?,5,95
4576,2022-12-21,17:45:00,afroamerlcan,bamboo OkayChamping,6,96
5362,2022-12-21,17:45:07,OndraFifin,2,3,96
2140,2022-12-21,17:45:09,flajvii_,no,1,96
4584,2022-12-21,17:45:14,henriiet,bamboo,6,96
4585,2022-12-21,17:45:16,blueBerry_suBB,bamboo,6,96
4577,2022-12-21,17:45:17,flajvii_,bamboo Cinkacka,7,96
4586,2022-12-21,17:45:17,OndraFifin,BAMBOO,7,96
4587,2022-12-21,17:45:18,ddrxxfante,bamboo,6,96
4658,2022-12-21,17:45:18,Rob150__,anubis,5,96
4659,2022-12-21,17:45:19,patisiso222,anubis,5,96
4588,2022-12-21,17:45:22,Strangechol,bamboo,6,96
4660,2022-12-21,17:45:22,LMNFix,anubis,5,96
4589,2022-12-21,17:45:24,gems69,bamboo,6,96
4661,2022-12-21,17:45:24,Rampa39,anubis,5,96
4590,2022-12-21,17:45:30,prometheus_21_,Bamboo,7,96
3,2022-12-21,17:45:31,LMNFix,�nubis then banboo Kapp,6,96
4591,2022-12-21,17:45:32,threevago,Bamboo,7,96
4655,2022-12-21,17:45:36,patisiso222,anubis anubis :),6,96
4592,2022-12-21,17:45:38,mariet3,bamboo,6,96
4593,2022-12-21,17:45:39,Ackooo1337,bamboo,6,96
4594,2022-12-21,17:46:01,randysi,Bamboo,7,97
2401,2022-12-21,17:46:09,jameslinkk,maybe big bamboo,3,97
1015,2022-12-21,17:46:11,jameslinkk,scam bamboo,1,97
3560,2022-12-21,17:46:15,gaston18,GL,5,97
4595,2022-12-21,17:46:34,4rc44,bamboo,6,97
316,2022-12-21,17:46:37,luziferek,xDDDDDDD,10,97
4490,2022-12-21,17:47:18,LMNFix,both Sadge,1,98
2888,2022-12-21,17:47:19,milujutekamobracho1,I would fill you up ??,1,98
4572,2022-12-21,17:47:23,adothaiming,bamboo with this song is max win https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3?si=1e8225e10a724407,6,98
5163,2022-12-21,17:47:25,ddrxxfante,!watchtime @4rc44,5,98
3043,2022-12-21,17:47:44,milujutekamobracho1,https://open.spotify.com/track/2mRQNFP4tVPUYSn8l6B1Qx?si=b3cbae921dfb40fd try this banger,8,98
3886,2022-12-21,17:47:47,xeriffer,fr,2,98
4571,2022-12-21,17:47:54,adothaiming,bamboo with this song is max win https://open.spotify.com/track/275a9yzwGB6ncAW4SxY7q3?si=1e8225e10a724407 trust me,8,99
5399,2022-12-21,17:47:58,Ackooo1337,1,1,99
1808,2022-12-21,17:48:03,Pata1G,panda panda panda,5,99
3220,2022-12-21,17:48:04,dendalegenda1,hello pissed uve shaved?,1,99
2946,2022-12-21,17:48:07,Pata1G,i got broads in atlanta,5,99
183,2022-12-21,17:48:08,Ackooo1337,yes,1,99
5400,2022-12-21,17:48:08,Strangechol,1,1,99
1723,2022-12-21,17:48:12,dendalegenda1,PepeLaugh,5,99
5401,2022-12-21,17:48:12,adothaiming,1,1,99
826,2022-12-21,17:48:13,flajvii_,sure,5,99
845,2022-12-21,17:48:21,dendalegenda1,sup,5,99
317,2022-12-21,17:48:29,luziferek,xDDDDDD,10,99
1822,2022-12-21,17:48:30,Strangechol,PagMan,5,99
1622,2022-12-21,17:48:33,luziferek,Pog,8,99
1369,2022-12-21,17:48:36,blueBerry_suBB,POGGERS,7,99
4143,2022-12-21,17:48:36,Strangechol,do it,5,99
4178,2022-12-21,17:48:37,OndraFifin,ddx,5,99
1623,2022-12-21,17:48:39,threevago,Pog,7,99
2127,2022-12-21,17:48:39,Strangechol,no balls,5,99
4144,2022-12-21,17:48:39,blueBerry_suBB,do it,5,99
79,2022-12-21,17:48:41,milujutekamobracho1,you have bigballs no?,5,99
2141,2022-12-21,17:48:47,Rob150__,no,1,99
1304,2022-12-21,17:48:50,henriiet,Prayge,7,99
4145,2022-12-21,17:48:52,threevago,Do it,5,100
2128,2022-12-21,17:48:53,gems69,no balls,5,100
4146,2022-12-21,17:48:53,Ackooo1337,do it,5,100
2797,2022-12-21,17:48:58,dendalegenda1,itll pay,6,100
4147,2022-12-21,17:48:58,erqo2,do iot,6,100
4598,2022-12-21,17:48:58,blueBerry_suBB,balls or not ?,5,100
4851,2022-12-21,17:48:59,LMNFix,2x for 600,7,100
5318,2022-12-21,17:49:08,jameslinkk,1200,7,100
4852,2022-12-21,17:49:12,randysi,2x 600,7,100
301,2022-12-21,17:49:14,randysi,xeri,5,100
1189,2022-12-21,17:49:14,flajvii_,prrraaaa send it,7,100
5351,2022-12-21,17:49:21,dendalegenda1,10,8,100
1328,2022-12-21,17:49:23,luziferek,praaaa Pog,7,100
3670,2022-12-21,17:49:25,Pata1G,GabeN,5,100
3887,2022-12-21,17:49:25,blueBerry_suBB,fr,2,100
361,2022-12-21,17:49:27,LEMAGICG,xd,10,100
3888,2022-12-21,17:49:28,Pata1G,fr,2,100
3889,2022-12-21,17:49:29,milujutekamobracho1,fr,2,100
2516,2022-12-21,17:49:31,LMNFix,LUL,7,100
5403,2022-12-21,17:49:31,Pata1G,,5,100
2479,2022-12-21,17:49:41,kralsakir_5031,LUL LUL LUL LUL,10,100
1760,2022-12-21,17:49:42,dendalegenda1,Pata1G hello,5,100
3233,2022-12-21,17:49:49,Pata1G,hello denda huge legend,8,100
1624,2022-12-21,17:50:06,randysi,Pog,7,101
2190,2022-12-21,17:50:12,jameslinkk,nice hit,7,101
1625,2022-12-21,17:50:14,dendalegenda1,Pog,7,101
1626,2022-12-21,17:50:15,jameslinkk,pog,7,101
152,2022-12-21,17:50:55,Flagtarson,yess,7,102
5325,2022-12-21,17:51:01,jameslinkk,615,5,102
2161,2022-12-21,17:51:02,jameslinkk,nicee,7,102
1938,2022-12-21,17:51:03,NessTTaa,OMEGALUL,1,102
1627,2022-12-21,17:51:05,strix_daniel,Pog,7,102
1196,2022-12-21,17:51:06,henriiet,profit,8,102
1191,2022-12-21,17:51:07,milujutekamobracho1,Profit Pog,8,102
1197,2022-12-21,17:51:07,Ackooo1337,profit,8,102
1198,2022-12-21,17:51:08,luziferek,Profit,8,102
1628,2022-12-21,17:51:08,henriiet,Pog,7,102
753,2022-12-21,17:51:09,NessTTaa,the expectations,5,102
1886,2022-12-21,17:51:09,blueBerry_suBB,one more,5,102
1629,2022-12-21,17:51:10,ddrxxfante,Pog,7,102
2329,2022-12-21,17:51:11,Rob150__,money back,8,102
184,2022-12-21,17:51:12,jonathanlarda,yes,7,102
1192,2022-12-21,17:51:15,gems69,profit Pog,7,102
1630,2022-12-21,17:51:15,jonathanlarda,Pog,7,102
4895,2022-12-21,17:51:15,Ackooo1337,16$ profit,8,102
362,2022-12-21,17:51:16,Rob150__,xd,7,102
1631,2022-12-21,17:51:16,adas334cz,Pog,7,102
2038,2022-12-21,17:51:16,jonathanlarda,not bad,6,102
2178,2022-12-21,17:51:16,ddrxxfante,nice pay big bamboo,7,102
477,2022-12-21,17:51:19,ddrxxfante,whattt,5,102
1193,2022-12-21,17:51:19,threevago,Profit is profit,8,102
2013,2022-12-21,17:51:19,LMNFix,now anubis,5,102
3423,2022-12-21,17:51:19,jonathanlarda,good hit,8,102
1632,2022-12-21,17:51:24,randysi,Pog,7,102
185,2022-12-21,17:51:25,blueBerry_suBB,yes,7,102
4896,2022-12-21,17:51:25,ddrxxfante,16 $ profit just,8,102
2259,2022-12-21,17:51:26,milujutekamobracho1,nah,1,102
2609,2022-12-21,17:51:26,randysi,lets goo,7,102
2142,2022-12-21,17:51:27,Rob150__,no,1,102
1096,2022-12-21,17:51:29,NessTTaa,run it,6,102
5363,2022-12-21,17:51:29,Rob150__,2,5,102
1956,2022-12-21,17:51:32,adothaiming,okay maybe not maxwin but at least you didnt loose a lot,6,102
1095,2022-12-21,17:51:35,Ackooo1337,run it back,6,102
2328,2022-12-21,17:51:37,Strangechol,money back run it back,8,102
2648,2022-12-21,17:51:37,Rob150__,leave,2,102
1865,2022-12-21,17:51:42,adothaiming,one more rwith lauder panda and max win,6,102
2235,2022-12-21,17:51:42,Strangechol,nestta said run it,6,102
929,2022-12-21,17:51:45,Strangechol,so you have to,6,102
4132,2022-12-21,17:51:47,threevago,Do it again,6,102
4208,2022-12-21,17:51:48,sakdejz,daily duel @xeri,7,102
158,2022-12-21,17:51:51,Rob150__,yes leave,2,103
4207,2022-12-21,17:51:51,erqo2,daily duel = max win?,8,103
3332,2022-12-21,17:52:02,Rob150__,gulag @[Mención Directa],1,103
2110,2022-12-21,17:52:03,adothaiming,no one more bro trust,6,103
58,2022-12-21,17:52:05,NessTTaa,you need to run santas christmas,5,103
3574,2022-12-21,17:52:06,NessTTaa,gifts,5,103
3334,2022-12-21,17:52:07,Ackooo1337,gulag,1,103
4384,2022-12-21,17:52:07,blueBerry_suBB,celo,5,103
5008,2022-12-21,17:52:07,LMNFix,@[Mención Directa] now anubis please or dead dead dead,5,103
1142,2022-12-21,17:52:08,Strangechol,retro tapes,5,103
2467,2022-12-21,17:52:08,milujutekamobracho1,madame destiny mw,5,103
4324,2022-12-21,17:52:08,blueBerry_suBB,cleo,5,103
1838,2022-12-21,17:52:12,Ackooo1337,or mental,5,103
3335,2022-12-21,17:52:12,flajvii_,gulag,1,103
3336,2022-12-21,17:52:12,patisiso222,gulag,1,103
864,2022-12-21,17:52:17,Rozkii,stralight christmas,5,103
3337,2022-12-21,17:52:21,lot_of_damage,gulag,1,103
1026,2022-12-21,17:52:22,NessTTaa,santas gifts,5,103
848,2022-12-21,17:52:23,danny_98_,sugas rush,5,103
1144,2022-12-21,17:52:23,dendalegenda1,retro PepeLaugh,2,103
4027,2022-12-21,17:52:25,NessTTaa,dunno how its called,5,103
3697,2022-12-21,17:52:26,henriiet,fruit party,5,103
4662,2022-12-21,17:52:26,Rampa39,anubis,5,103
3685,2022-12-21,17:52:27,NessTTaa,fuck me,1,103
3338,2022-12-21,17:52:28,Rob150__,gulag,1,103
814,2022-12-21,17:52:29,SKuLLn1,Sweet bananas XD,5,103
749,2022-12-21,17:52:30,NessTTaa,the pragmatic,5,103
811,2022-12-21,17:52:30,ddrxxfante,sweet bonanza,5,103
3339,2022-12-21,17:52:30,jen1sek,Gulag,1,103
415,2022-12-21,17:52:34,NessTTaa,with gifts,5,103
2381,2022-12-21,17:52:34,domino930611,mental,5,103
235,2022-12-21,17:52:35,NessTTaa,yeah,7,103
5239,2022-12-21,17:52:35,Ackooo1337,!points,5,103
1023,2022-12-21,17:52:39,NessTTaa,santas great gifts,5,103
812,2022-12-21,17:52:40,threevago,Sweet bonanza,5,103
856,2022-12-21,17:52:41,mad_robo,Sugar rush,5,103
3694,2022-12-21,17:52:44,mariet3,fruit party 2,5,103
3340,2022-12-21,17:52:49,Strangechol,gulag,1,103
1033,2022-12-21,17:52:51,dendalegenda1,santa,5,104
3341,2022-12-21,17:52:51,Rozkii,gulag,1,104
3623,2022-12-21,17:52:51,LEMAGICG,GEMS BONANZA,5,104
4493,2022-12-21,17:52:51,blueBerry_suBB,both,5,104
5242,2022-12-21,17:52:52,sajmonmavelkucikulu,!poinst,5,104
1034,2022-12-21,17:52:53,henriiet,santa,1,104
3330,2022-12-21,17:52:53,Rob150__,gulag.,1,104
3342,2022-12-21,17:52:54,patisiso222,gulag,1,104
1183,2022-12-21,17:52:56,kennystek88,PUTIN,1,104
3343,2022-12-21,17:52:56,flajvii_,gulag,1,104
514,2022-12-21,17:52:57,Strangechol,we played santa already,2,104
930,2022-12-21,17:52:59,Strangechol,so YEP,2,104
515,2022-12-21,17:53:00,Rozkii,we played santa already,2,104
5240,2022-12-21,17:53:11,sajmonmavelkucikulu,!points,5,104
3278,2022-12-21,17:53:36,flajvii_,he lost all of your profit u made,1,104
2701,2022-12-21,17:54:02,michko,k sec,5,105
3036,2022-12-21,17:54:17,NessTTaa,https://open.spotify.com/track/3bN0ClUvRz8289XE7tNW0k?si=cce6ef01d1cc4482,8,105
3017,2022-12-21,17:54:19,naande11,https://www.youtube.com/watch?v=oNNon23Hy9o&t=2s @[Mención Directa] go this pls,8,105
2908,2022-12-21,17:54:27,naande11,i swear 100% profit,7,105
3047,2022-12-21,17:54:29,milujutekamobracho1,https://open.spotify.com/track/2mRQNFP4tVPUYSn8l6B1Qx?si=b3cbae921dfb40fd,8,105
623,2022-12-21,17:54:36,NessTTaa,try mine,7,105
4080,2022-12-21,17:54:45,flopydca,double vodka buy,6,105
2775,2022-12-21,17:54:46,naande11,its not on spotify.. https://www.youtube.com/watch?v=oNNon23Hy9o&t=2s please bro,8,105
2552,2022-12-21,17:54:47,naande11,listen me,6,105
4952,2022-12-21,17:54:51,SKuLLn1,@xeriffer  Aliens Are Ghosts  ( $uicideboy$  ),7,106
1186,2022-12-21,17:54:57,erqo2,pusti baron - imi,5,106
3344,2022-12-21,17:55:16,denomslayert,gualg,1,106
3331,2022-12-21,17:55:19,denomslayert,gulag spins,1,106
4079,2022-12-21,17:55:21,flopydca,double vodka buyy,6,106
3561,2022-12-21,17:55:29,Ackooo1337,GL,5,106
1204,2022-12-21,17:55:35,lot_of_damage,Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge Prayge,10,106
1305,2022-12-21,17:55:38,jen1sek,Prayge,10,106
1306,2022-12-21,17:55:39,xeriffer,Prayge,10,106
1307,2022-12-21,17:55:41,xeriffer,Prayge,10,106
1308,2022-12-21,17:55:46,milujutekamobracho1,Prayge,10,106
1309,2022-12-21,17:55:47,ddrxxfante,Prayge,10,106
1310,2022-12-21,17:55:50,patisiso222,Prayge,10,106
1311,2022-12-21,17:55:51,Strangechol,Prayge,10,107
1312,2022-12-21,17:55:54,strix_daniel,Prayge,10,107
917,2022-12-21,17:56:02,fantousek,song? ty,5,107
1313,2022-12-21,17:56:02,Rozkii,Prayge,10,107
1314,2022-12-21,17:56:05,gems69,Prayge,10,107
28,2022-12-21,17:56:06,Rozkii,zyzzDance,7,107
4796,2022-12-21,17:56:06,flajvii_,8 fr,2,107
1678,2022-12-21,17:56:10,naande11,play song from gulag its op,8,107
3038,2022-12-21,17:56:10,xeriffer,https://open.spotify.com/track/3bN0ClUvRz8289XE7tNW0k?si=084286f788d149dd,7,107
3890,2022-12-21,17:56:14,milujutekamobracho1,fr,5,107
1315,2022-12-21,17:57:00,jameslinkk,Prayge,8,108
4176,2022-12-21,17:57:02,LMNFix,dead,2,108
1633,2022-12-21,17:57:10,LMNFix,pog,9,108
1316,2022-12-21,17:57:12,randysi,Prayge,8,108
2065,2022-12-21,17:57:12,flajvii_,nooooo,2,108
4756,2022-12-21,17:57:38,blueBerry_suBB,again,5,108
2058,2022-12-21,17:57:41,ddrxxfante,noooooo,2,108
4757,2022-12-21,17:57:56,threevago,Again,5,109
4663,2022-12-21,17:58:02,LMNFix,anubis,7,109
4874,2022-12-21,17:58:03,flopydca,1more,5,109
4758,2022-12-21,17:58:05,mikailensk,again,5,109
1081,2022-12-21,17:58:06,LMNFix,Sadge,2,109
4875,2022-12-21,17:58:10,blueBerry_suBB,1more,5,109
2258,2022-12-21,17:58:15,Strangechol,nah dont,2,109
3905,2022-12-21,17:58:15,prometheus_21_,folsom,5,109
4910,2022-12-21,17:58:21,flajvii_,1$ bet,5,109
2776,2022-12-21,17:58:22,lohhjutra,its not expensive,5,109
5402,2022-12-21,17:58:26,adothaiming,1,5,109
4094,2022-12-21,17:58:28,lohhjutra,dont be pussy,2,109
4245,2022-12-21,17:58:31,ddrxxfante,cool song,8,109
601,2022-12-21,17:58:35,mikailensk,u are on profit one more,7,109
4652,2022-12-21,17:58:47,LMNFix,anubis for 600,7,109
186,2022-12-21,17:58:48,blueBerry_suBB,yes,8,109
3446,2022-12-21,17:58:49,lohhjutra,go risk it,7,109
2105,2022-12-21,17:58:53,lohhjutra,no pussys,2,110
1108,2022-12-21,17:58:55,Pata1G,risk it for the biscuit,7,110
4423,2022-12-21,17:58:59,flopydca,buy. it,7,110
387,2022-12-21,17:59:02,Rozkii,WTF,2,110
728,2022-12-21,17:59:04,GiovanieS,this game is f trash,2,110
2998,2022-12-21,17:59:05,flajvii_,HUH,2,110
2554,2022-12-21,17:59:06,Rozkii,LIL BRO IS SOOOO TWISTED,7,110
2563,2022-12-21,17:59:06,threevago,let�s go man,8,110
2455,2022-12-21,17:59:10,lohhjutra,man u have some balls,8,110
2452,2022-12-21,17:59:21,Davsick,matoPiska,7,110
1317,2022-12-21,17:59:22,henriiet,Prayge,8,110
5151,2022-12-21,17:59:25,Davsick,??,5,110
3891,2022-12-21,17:59:31,flajvii_,fr,5,110
5127,2022-12-21,17:59:31,Davsick,????,5,110
2517,2022-12-21,17:59:37,LMNFix,LUL,5,110
3892,2022-12-21,17:59:39,milujutekamobracho1,fr,5,110
2818,2022-12-21,18:00:50,SKuLLn1,It didn't pay anything it's a communist slot..   PepeLaugh,2,111
1012,2022-12-21,18:00:55,GiovanieS,scam game,2,112
1976,2022-12-21,18:00:55,flajvii_,oh shit,2,112
3893,2022-12-21,18:00:55,blueBerry_suBB,fr,5,112
2652,2022-12-21,18:01:16,flopydca,Last one will profit,7,112
3191,2022-12-21,18:01:23,delirion1,Hey xerifff GL,8,112
3216,2022-12-21,18:01:23,Crattisyde77,hello there,8,112
4649,2022-12-21,18:01:35,LMNFix,anubis will save it,7,112
968,2022-12-21,18:01:43,SsimPro,Sippin  SnowTime,7,112
620,2022-12-21,18:01:44,blueBerry_suBB,try spin cleo,7,112
813,2022-12-21,18:01:45,threevago,Sweet bonanza,8,112
4109,2022-12-21,18:01:45,flajvii_,dog house mw?,6,112
4377,2022-12-21,18:02:06,marcinkrekk,Chaos crew,7,113
1892,2022-12-21,18:02:07,marcinkrekk,one,5,113
852,2022-12-21,18:02:09,mad_robo,Sugar rush 100% profit,8,113
4169,2022-12-21,18:02:15,alenejdes,dead canary is,2,113
4436,2022-12-21,18:02:22,Crattisyde77,but you have to bark,7,113
1827,2022-12-21,18:02:29,Crattisyde77,otherwise it wont be profit KEKW,2,113
3282,2022-12-21,18:02:47,milujutekamobracho1,he does whole stream,7,113
3902,2022-12-21,18:02:48,blueBerry_suBB,for 600,7,113
897,2022-12-21,18:03:15,ddrxxfante,st?cky,8,114
872,2022-12-21,18:03:17,NessTTaa,sticky is the way,8,114
1318,2022-12-21,18:03:17,flajvii_,Prayge,8,114
201,2022-12-21,18:03:19,NessTTaa,yep,8,114
2319,2022-12-21,18:03:19,SsimPro,MONKE  MONKE,7,114
3612,2022-12-21,18:03:20,NessTTaa,gg,7,114
3190,2022-12-21,18:03:38,charlliezzz,hey xeriffier,8,114
3539,2022-12-21,18:03:44,charlliezzz,gl broski,7,114
4230,2022-12-21,18:03:50,NessTTaa,cursed 3rdd reel,2,114
570,2022-12-21,18:03:52,SsimPro,VeryPog,9,115
4826,2022-12-21,18:03:54,NessTTaa,4th,6,115
1117,2022-12-21,18:04:00,Crattisyde77,rip,2,115
3973,2022-12-21,18:04:02,obey_pietro,ez black list,2,115
662,2022-12-21,18:04:06,ddrxxfante,today rip loadingg ???,2,115
809,2022-12-21,18:04:20,threevago,Sweet bonanza for comeback,8,115
2570,2022-12-21,18:04:21,mad_robo,Lets try Sugar rush,7,115
4376,2022-12-21,18:04:25,marcinkrekk,chaoss crew,7,115
4162,2022-12-21,18:04:26,pipkos758,deadwood,2,115
4296,2022-12-21,18:04:26,marcinkrekk,cmon,8,115
892,2022-12-21,18:04:30,Crattisyde77,stack em?,7,115
3443,2022-12-21,18:04:32,ddrxxfante,go sweet bonanza @xeriffer,8,115
4069,2022-12-21,18:04:33,kukystarted,DUEL,7,115
2468,2022-12-21,18:04:36,milujutekamobracho1,madame destiny mw,8,115
3171,2022-12-21,18:04:36,c1g4n201,Hi,7,115
4210,2022-12-21,18:04:39,blueBerry_suBB,daily cleo,7,115
3517,2022-12-21,18:04:48,ddrxxfante,glgl,7,115
4404,2022-12-21,18:04:50,c1g4n201,Can you try Dragon hot hold and spin?,8,115
4830,2022-12-21,18:04:56,ChuckTheStoner,420 uff,2,116
1852,2022-12-21,18:05:01,SsimPro,only 2k left  COPIUM,2,116
2928,2022-12-21,18:05:07,NessTTaa,i kinda have one call,7,116
1029,2022-12-21,18:05:10,NessTTaa,santa's wonderland,7,116
259,2022-12-21,18:05:11,Crattisyde77,ya,7,116
4832,2022-12-21,18:05:11,ChuckTheStoner,420 ofc,9,116
4125,2022-12-21,18:05:15,ddrxxfante,do not be afraid  go buy,7,116
820,2022-12-21,18:05:17,SsimPro,surely,8,116
1692,2022-12-21,18:05:20,ddrxxfante,[Emote Personalizado 2] [Emote Personalizado 2] [Emote Personalizado 2] GlitchCat GlitchCat GlitchCat,8,116
4933,2022-12-21,18:05:21,SsimPro,+ 2k,8,116
2840,2022-12-21,18:05:25,SsimPro,in gamba,7,116
278,2022-12-21,18:05:55,alenejdes,xeriGasm,9,117
2610,2022-12-21,18:05:59,jameslinkk,lets goo,8,117
4408,2022-12-21,18:06:03,adothaiming,can yo ushare the songs name please ?,8,117
4833,2022-12-21,18:06:12,randysi,420 buy,9,117
1671,2022-12-21,18:06:13,randysi,pls,5,117
3034,2022-12-21,18:06:13,xeriffer,https://open.spotify.com/track/4cYefs8w3vzlroSiuPB9Jv?si=8fcc9d81951843a5,8,117
4272,2022-12-21,18:06:15,randysi,come on,8,117
3562,2022-12-21,18:06:26,mariet3,gl,7,117
3894,2022-12-21,18:06:32,blueBerry_suBB,fr,5,117
388,2022-12-21,18:06:38,ddrxxfante,wtf,2,117
3955,2022-12-21,18:06:42,Rob150__,F,2,117
1920,2022-12-21,18:06:43,mariet3,omg,2,117
4164,2022-12-21,18:06:52,mariet3,dead spins,2,118
4897,2022-12-21,18:06:56,SsimPro,150 VeryPog,9,118
914,2022-12-21,18:07:04,ddrxxfante,sorry for dead spin sweet,7,118
2518,2022-12-21,18:07:04,LMNFix,LUL,5,118
4856,2022-12-21,18:07:08,alenejdes,2k buys,8,118
4754,2022-12-21,18:07:09,ddrxxfante,again ?,5,118
1028,2022-12-21,18:07:10,NessTTaa,santa's wonderland ?,7,118
4422,2022-12-21,18:07:10,alenejdes,buys,8,118
4434,2022-12-21,18:07:13,alenejdes,buy,7,118
849,2022-12-21,18:07:14,mad_robo,Sugar ruush trust me,7,118
2913,2022-12-21,18:07:23,LMNFix,i said anubis will pay atleas i hope LUL,6,118
518,2022-12-21,18:07:29,threevago,We need a comeback,6,118
592,2022-12-21,18:07:36,marcinkrekk,u should go one chaos crew,5,118
1939,2022-12-21,18:07:43,NessTTaa,OMEGALUL,5,118
4857,2022-12-21,18:07:59,SsimPro,2k buy right now,7,119
202,2022-12-21,18:08:01,SsimPro,YEP,6,119
650,2022-12-21,18:08:06,NessTTaa,true,5,119
4761,2022-12-21,18:08:07,ChuckTheStoner,afraid of buyin so do some spins LUL,5,119
3450,2022-12-21,18:08:12,alenejdes,go nitropolis 3 super bonus,5,119
1319,2022-12-21,18:08:24,Crattisyde77,Prayge,6,119
2690,2022-12-21,18:08:27,SKuLLn1,kekbye blance,5,119
1339,2022-12-21,18:08:56,Rozkii,ppHop,7,120
1329,2022-12-21,18:08:58,Rozkii,ppOverheat  ??,6,120
1332,2022-12-21,18:08:58,Rozkii,ppOverheat,6,120
1333,2022-12-21,18:08:59,Rozkii,ppOverheat,6,120
1330,2022-12-21,18:09:00,Rozkii,ppOverheat  ??,6,120
1331,2022-12-21,18:09:00,Rozkii,ppOverheat  ??,6,120
1334,2022-12-21,18:09:00,Rozkii,ppOverheat,6,120
1335,2022-12-21,18:09:00,Rozkii,ppOverheat,6,120
1336,2022-12-21,18:09:02,SsimPro,ppOverheat,6,120
1337,2022-12-21,18:09:03,ddrxxfante,ppOverheat,6,120
1634,2022-12-21,18:09:29,lot_of_damage,Pog,8,120
1960,2022-12-21,18:09:29,marcinkrekk,OKAY,8,120
1983,2022-12-21,18:09:29,NessTTaa,OH MY GODNESS,7,120
1635,2022-12-21,18:09:30,blueBerry_suBB,Pog,8,120
1636,2022-12-21,18:09:30,Falesh_Pog,Pog,8,120
389,2022-12-21,18:09:31,dauphinn7,wtf,5,120
1637,2022-12-21,18:09:31,ddrxxfante,Pog,8,120
3368,2022-12-21,18:09:31,Pata1G,Gool Gool Gool,8,120
5278,2022-12-21,18:09:31,SKuLLn1,:O,8,120
1638,2022-12-21,18:09:32,damianes16,Pog,8,120
1639,2022-12-21,18:09:32,Rozkii,Pog,8,120
1640,2022-12-21,18:09:32,cassluuu,pog,8,120
2270,2022-12-21,18:09:32,NessTTaa,MY FUCKIN GGOD,8,120
3097,2022-12-21,18:09:32,gems69,HOLY,8,120
367,2022-12-21,18:09:33,ddrxxfante,WTFFFFFFFFFFFFF,8,120
1641,2022-12-21,18:09:33,randysi,Pog,8,120
1642,2022-12-21,18:09:33,LMNFix,Pog,8,120
5281,2022-12-21,18:09:33,NessTTaa,:DDDDDDDDDD,8,120
497,2022-12-21,18:09:34,Crattisyde77,WHAAAAAAAAAAAAAT,8,120
1643,2022-12-21,18:09:34,xxgypsyking69xx,Pog,8,120
1644,2022-12-21,18:09:34,adothaiming,Pog,8,120
1645,2022-12-21,18:09:34,mariet3,Pog,8,120
1646,2022-12-21,18:09:35,milujutekamobracho1,Pog,8,120
3398,2022-12-21,18:09:35,jen1sek,Gool,8,120
4743,2022-12-21,18:09:35,randysi,ahahahahha,8,120
372,2022-12-21,18:09:36,randysi,wtff,8,120
1647,2022-12-21,18:09:36,hum0rnicek,Pog,8,120
990,2022-12-21,18:09:38,ddrxxfante,sheeeeshhh santa,8,120
2145,2022-12-21,18:09:39,mariet3,niceeeeeee,8,120
4681,2022-12-21,18:09:39,adothaiming,and its goiiiing,8,120
2611,2022-12-21,18:09:40,jameslinkk,lets goo,8,120
4840,2022-12-21,18:09:40,DrewStar23,40 raiders from DrewStar23 have joined! ,8,120
